@relation electricity-weka.filters.uns1ervised.attribute.Normalize-S1.0-T0.0-weka.filters.uns1ervised.attribute.ReplaceMissingValues-weka.filters.uns1ervised.attribute.Remove-R1-weka.filters.uns1ervised.attribute.Remove-R3-weka.filters.uns1ervised.attribute.Remove-R4

@attribute 0 numeric
@attribute period numeric
@attribute nswdemand numeric
@attribute vicdemand numeric
@attribute transfer numeric
@attribute class {1,0}


@data
0,0,0.439155,0.422915,0.414912,1
1,0.021277,0.415055,0.422915,0.414912,1
1,0.042553,0.385004,0.422915,0.414912,1
0,0.06383,0.314639,0.422915,0.414912,1
1,0.085106,0.251116,0.422915,0.414912,0
0,0.106383,0.207528,0.422915,0.414912,0
1,0.12766,0.171824,0.422915,0.414912,0
1,0.148936,0.152782,0.422915,0.414912,0
1,0.170213,0.13493,0.422915,0.414912,0
1,0.191489,0.140583,0.422915,0.414912,0
1,0.212766,0.168997,0.422915,0.414912,1
0,0.234043,0.212437,0.422915,0.414912,1
1,0.255319,0.298721,0.422915,0.414912,1
1,0.276596,0.39036,0.422915,0.414912,0
1,0.297872,0.402261,0.422915,0.414912,0
1,0.319149,0.462214,0.422915,0.414912,0
1,0.340426,0.488248,0.422915,0.414912,0
1,0.361702,0.493306,0.422915,0.414912,0
0,0.382979,0.53258,0.422915,0.414912,0
1,0.404255,0.546415,0.422915,0.414912,0
1,0.425532,0.53496,0.422915,0.414912,1
1,0.446809,0.51681,0.422915,0.414912,1
1,0.468085,0.513984,0.422915,0.414912,1
1,0.489362,0.513835,0.422915,0.414912,1
1,0.510638,0.505356,0.422915,0.414912,1
1,0.531915,0.497917,0.422915,0.414912,1
1,0.553191,0.499554,0.422915,0.414912,0
1,0.574468,0.491669,0.422915,0.414912,1
1,0.595745,0.489735,0.422915,0.414912,1
1,0.617021,0.47709,0.422915,0.414912,0
1,0.638298,0.466825,0.422915,0.414912,0
1,0.659574,0.478132,0.422915,0.414912,0
1,0.680851,0.484975,0.422915,0.414912,0
1,0.702128,0.503124,0.422915,0.414912,0
1,0.723404,0.55296,0.422915,0.414912,0
1,0.744681,0.612318,0.422915,0.414912,1
1,0.765957,0.587623,0.422915,0.414912,0
1,0.787234,0.546861,0.422915,0.414912,0
1,0.808511,0.497025,0.422915,0.414912,0
1,0.829787,0.470693,0.422915,0.414912,0
1,0.851064,0.446296,0.422915,0.414912,0
0,0.87234,0.412229,0.422915,0.414912,0
1,0.893617,0.368789,0.422915,0.414912,0
1,0.914894,0.34573,0.422915,0.414912,1
1,0.93617,0.40479,0.422915,0.414912,1
1,0.957447,0.42889,0.422915,0.414912,1
1,0.978723,0.445254,0.422915,0.414912,1
1,1,0.44094,0.422915,0.414912,1
1,0,0.442874,0.422915,0.414912,1
1,0.021277,0.41089,0.422915,0.414912,1
1,0.042553,0.378905,0.422915,0.414912,1
1,0.06383,0.316721,0.422915,0.414912,0
1,0.085106,0.257959,0.422915,0.414912,0
1,0.106383,0.214073,0.422915,0.414912,0
1,0.12766,0.178816,0.422915,0.414912,0
1,0.148936,0.151889,0.422915,0.414912,0
1,0.170213,0.1385,0.422915,0.414912,0
1,0.191489,0.142071,0.422915,0.414912,0
1,0.212766,0.171675,0.422915,0.414912,0
1,0.234043,0.214519,0.422915,0.414912,1
1,0.255319,0.30244,0.422915,0.414912,1
1,0.276596,0.393038,0.422915,0.414912,1
1,0.297872,0.395567,0.422915,0.414912,0
1,0.319149,0.456561,0.422915,0.414912,0
1,0.340426,0.487504,0.422915,0.414912,0
1,0.361702,0.488991,0.422915,0.414912,0
1,0.382979,0.52886,0.422915,0.414912,0
1,0.404255,0.533323,0.422915,0.414912,0
0,0.425532,0.519935,0.422915,0.414912,0
1,0.446809,0.502529,0.422915,0.414912,0
1,0.468085,0.491818,0.422915,0.414912,0
0,0.489362,0.486909,0.422915,0.414912,0
1,0.510638,0.480363,0.422915,0.414912,0
1,0.531915,0.477388,0.422915,0.414912,0
1,0.553191,0.477388,0.422915,0.414912,0
1,0.574468,0.47114,0.422915,0.414912,0
1,0.595745,0.462065,0.422915,0.414912,0
1,0.617021,0.445403,0.422915,0.414912,0
1,0.638298,0.442428,0.422915,0.414912,0
1,0.659574,0.450759,0.422915,0.414912,0
1,0.680851,0.455965,0.422915,0.414912,0
1,0.702128,0.484677,0.422915,0.414912,0
1,0.723404,0.53377,0.422915,0.414912,0
1,0.744681,0.604136,0.422915,0.414912,0
1,0.765957,0.587028,0.422915,0.414912,0
1,0.787234,0.552812,0.422915,0.414912,0
1,0.808511,0.51086,0.422915,0.414912,0
0,0.829787,0.480065,0.422915,0.414912,0
0,0.851064,0.452246,0.422915,0.414912,0
1,0.87234,0.431568,0.422915,0.414912,0
1,0.893617,0.3856,0.422915,0.414912,0
1,0.914894,0.350342,0.422915,0.414912,0
1,0.93617,0.409104,0.422915,0.414912,1
1,0.957447,0.435138,0.422915,0.414912,1
1,0.978723,0.456412,0.422915,0.414912,1
0,1,0.449866,0.422915,0.414912,1
1,0,0.44823,0.422915,0.414912,1
1,0.021277,0.429485,0.422915,0.414912,1
1,0.042553,0.399286,0.422915,0.414912,1
1,0.06383,0.331449,0.422915,0.414912,0
1,0.085106,0.271794,0.422915,0.414912,0
0,0.106383,0.228206,0.422915,0.414912,0
1,0.12766,0.183576,0.422915,0.414912,0
1,0.148936,0.162452,0.422915,0.414912,0
1,0.170213,0.151592,0.422915,0.414912,1
0,0.191489,0.147724,0.422915,0.414912,1
1,0.212766,0.174353,0.422915,0.414912,1
1,0.234043,0.2169,0.422915,0.414912,1
1,0.255319,0.307349,0.422915,0.414912,1
1,0.276596,0.403451,0.422915,0.414912,1
1,0.297872,0.407766,0.422915,0.414912,1
1,0.319149,0.465486,0.422915,0.414912,0
1,0.340426,0.490777,0.422915,0.414912,0
1,0.361702,0.493603,0.422915,0.414912,0
1,0.382979,0.519786,0.422915,0.414912,1
1,0.404255,0.531836,0.422915,0.414912,1
1,0.425532,0.520976,0.422915,0.414912,1
1,0.446809,0.490925,0.422915,0.414912,1
1,0.468085,0.49762,0.422915,0.414912,1
0,0.489362,0.490479,0.422915,0.414912,1
1,0.510638,0.482892,0.422915,0.414912,1
1,0.531915,0.475751,0.422915,0.414912,1
1,0.553191,0.474412,0.422915,0.414912,1
0,0.574468,0.466825,0.422915,0.414912,1
1,0.595745,0.458792,0.422915,0.414912,1
1,0.617021,0.446742,0.422915,0.414912,1
1,0.638298,0.439601,0.422915,0.414912,1
1,0.659574,0.442428,0.422915,0.414912,1
1,0.680851,0.450461,0.422915,0.414912,0
1,0.702128,0.468015,0.422915,0.414912,0
1,0.723404,0.510562,0.422915,0.414912,1
1,0.744681,0.592086,0.422915,0.414912,1
1,0.765957,0.584796,0.422915,0.414912,1
1,0.787234,0.558018,0.422915,0.414912,0
1,0.808511,0.52053,0.422915,0.414912,0
1,0.829787,0.493454,0.422915,0.414912,0
1,0.851064,0.473817,0.422915,0.414912,0
0,0.87234,0.453585,0.422915,0.414912,0
1,0.893617,0.407468,0.422915,0.414912,1
1,0.914894,0.371169,0.422915,0.414912,1
1,0.93617,0.422345,0.422915,0.414912,1
1,0.957447,0.442577,0.422915,0.414912,1
0,0.978723,0.46385,0.422915,0.414912,1
1,1,0.462065,0.422915,0.414912,1
1,0,0.459833,0.422915,0.414912,1
1,0.021277,0.434543,0.422915,0.414912,1
1,0.042553,0.395567,0.422915,0.414912,1
0,0.06383,0.327879,0.422915,0.414912,1
1,0.085106,0.273282,0.422915,0.414912,1
1,0.106383,0.232223,0.422915,0.414912,1
1,0.12766,0.187295,0.422915,0.414912,1
1,0.148936,0.164237,0.422915,0.414912,1
1,0.170213,0.154418,0.422915,0.414912,1
1,0.191489,0.159625,0.422915,0.414912,1
1,0.212766,0.182981,0.422915,0.414912,1
1,0.234043,0.226867,0.422915,0.414912,1
1,0.255319,0.314192,0.422915,0.414912,1
1,0.276596,0.401517,0.422915,0.414912,1
0,0.297872,0.405832,0.422915,0.414912,1
1,0.319149,0.457751,0.422915,0.414912,1
1,0.340426,0.496727,0.422915,0.414912,1
1,0.361702,0.500595,0.422915,0.414912,1
1,0.382979,0.542101,0.422915,0.414912,1
1,0.404255,0.550878,0.422915,0.414912,1
1,0.425532,0.535257,0.422915,0.414912,1
1,0.446809,0.516662,0.422915,0.414912,1
1,0.468085,0.50476,0.422915,0.414912,0
0,0.489362,0.495537,0.422915,0.414912,1
1,0.510638,0.485272,0.422915,0.414912,1
1,0.531915,0.482594,0.422915,0.414912,1
1,0.553191,0.473371,0.422915,0.414912,1
1,0.574468,0.468164,0.422915,0.414912,1
0,0.595745,0.461619,0.422915,0.414912,1
1,0.617021,0.456709,0.422915,0.414912,1
1,0.638298,0.439453,0.422915,0.414912,1
1,0.659574,0.438411,0.422915,0.414912,1
1,0.680851,0.441684,0.422915,0.414912,0
1,0.702128,0.458792,0.422915,0.414912,1
1,0.723404,0.499554,0.422915,0.414912,1
1,0.744681,0.54939,0.422915,0.414912,0
1,0.765957,0.53377,0.422915,0.414912,0
1,0.787234,0.505504,0.422915,0.414912,0
1,0.808511,0.458346,0.422915,0.414912,0
1,0.829787,0.429485,0.422915,0.414912,0
1,0.851064,0.399137,0.422915,0.414912,0
1,0.87234,0.376525,0.422915,0.414912,0
0,0.893617,0.352127,0.422915,0.414912,0
1,0.914894,0.309283,0.422915,0.414912,0
1,0.93617,0.381434,0.422915,0.414912,0
0,0.957447,0.408956,0.422915,0.414912,0
1,0.978723,0.43856,0.422915,0.414912,1
1,1,0.435436,0.422915,0.414912,1
1,0,0.436924,0.422915,0.414912,0
1,0.021277,0.407468,0.422915,0.414912,0
1,0.042553,0.368343,0.422915,0.414912,0
1,0.06383,0.304522,0.422915,0.414912,0
1,0.085106,0.246355,0.422915,0.414912,0
0,0.106383,0.196816,0.422915,0.414912,0
1,0.12766,0.152633,0.422915,0.414912,0
1,0.148936,0.127343,0.422915,0.414912,0
1,0.170213,0.11083,0.422915,0.414912,0
1,0.191489,0.101607,0.422915,0.414912,0
1,0.212766,0.105326,0.422915,0.414912,0
1,0.234043,0.120649,0.422915,0.414912,0
1,0.255319,0.149807,0.422915,0.414912,0
1,0.276596,0.176882,0.422915,0.414912,0
1,0.297872,0.214073,0.422915,0.414912,0
0,0.319149,0.286224,0.422915,0.414912,0
1,0.340426,0.344243,0.422915,0.414912,0
1,0.361702,0.385897,0.422915,0.414912,0
1,0.382979,0.423535,0.422915,0.414912,0
0,0.404255,0.428593,0.422915,0.414912,0
1,0.425532,0.416989,0.422915,0.414912,0
1,0.446809,0.403154,0.422915,0.414912,0
1,0.468085,0.382624,0.422915,0.414912,0
1,0.489362,0.371021,0.422915,0.414912,0
1,0.510638,0.354508,0.422915,0.414912,0
1,0.531915,0.337102,0.422915,0.414912,0
1,0.553191,0.325796,0.422915,0.414912,0
0,0.574468,0.313746,0.422915,0.414912,0
1,0.595745,0.296489,0.422915,0.414912,0
1,0.617021,0.287266,0.422915,0.414912,0
1,0.638298,0.284588,0.422915,0.414912,1
1,0.659574,0.287266,0.422915,0.414912,1
1,0.680851,0.291431,0.422915,0.414912,1
0,0.702128,0.318209,0.422915,0.414912,1
1,0.723404,0.363136,0.422915,0.414912,1
1,0.744681,0.44942,0.422915,0.414912,1
1,0.765957,0.458048,0.422915,0.414912,1
1,0.787234,0.428444,0.422915,0.414912,1
1,0.808511,0.385302,0.422915,0.414912,0
1,0.829787,0.351532,0.422915,0.414912,0
1,0.851064,0.32535,0.422915,0.414912,0
1,0.87234,0.309432,0.422915,0.414912,0
1,0.893617,0.282059,0.422915,0.414912,0
1,0.914894,0.259447,0.422915,0.414912,0
1,0.93617,0.29753,0.422915,0.414912,1
1,0.957447,0.31687,0.422915,0.414912,0
1,0.978723,0.3374,0.422915,0.414912,0
1,1,0.316572,0.422915,0.414912,0
0,0,0.30244,0.422915,0.414912,0
1,0.021277,0.259,0.422915,0.414912,0
1,0.042553,0.234157,0.422915,0.414912,0
1,0.06383,0.182089,0.422915,0.414912,0
1,0.085106,0.140732,0.422915,0.414912,0
1,0.106383,0.111425,0.422915,0.414912,1
1,0.12766,0.087176,0.422915,0.414912,1
1,0.148936,0.07349,0.422915,0.414912,1
1,0.170213,0.058167,0.422915,0.414912,1
1,0.191489,0.052812,0.422915,0.414912,1
1,0.212766,0.064267,0.422915,0.414912,1
1,0.234043,0.074383,0.422915,0.414912,1
1,0.255319,0.090747,0.422915,0.414912,1
1,0.276596,0.091937,0.422915,0.414912,0
1,0.297872,0.127938,0.422915,0.414912,0
0,0.319149,0.180452,0.422915,0.414912,0
1,0.340426,0.230884,0.422915,0.414912,0
1,0.361702,0.277298,0.422915,0.414912,0
1,0.382979,0.327581,0.422915,0.414912,0
1,0.404255,0.351235,0.422915,0.414912,0
1,0.425532,0.355251,0.422915,0.414912,0
1,0.446809,0.345582,0.422915,0.414912,0
