@relation electricity-weka.filters.uns1ervised.attribute.Normalize-S1.0-T0.0-weka.filters.uns1ervised.attribute.ReplaceMissingValues-weka.filters.uns1ervised.attribute.Remove-R1-weka.filters.uns1ervised.attribute.Remove-R3-weka.filters.uns1ervised.attribute.Remove-R4
@attribute period numeric
@attribute nswdemand numeric
@attribute vicdemand numeric
@attribute transfer numeric
@attribute class {1,0}


@data
0.595745,0.464743,0.570171,0.47807,1
0.617021,0.458643,0.556706,0.475877,1
0.638298,0.4518,0.541947,0.495175,0
0.659574,0.455817,0.531072,0.517982,0
0.680851,0.460577,0.531849,0.504386,0
0.702128,0.468759,0.540394,0.527193,0
0.723404,0.486165,0.554376,0.554386,0
0.744681,0.550431,0.593734,0.49386,0
0.765957,0.60116,0.62869,0.44386,1
0.787234,0.58673,0.63594,0.434211,1
0.808511,0.549539,0.603573,0.409211,0
0.829787,0.520083,0.566805,0.419737,0
0.851064,0.497173,0.546608,0.410965,0
0.87234,0.477239,0.525375,0.407895,0
0.893617,0.435138,0.48783,0.4,0
0.914894,0.40717,0.459089,0.401754,0
0.93617,0.447932,0.437856,0.573684,0
0.957447,0.464891,0.4174,0.54693,0
0.978723,0.480065,0.517607,0.533772,1
1,0.4759,0.509322,0.567544,1
0,0.468611,0.488607,0.595175,1
0.021277,0.455073,0.452874,0.602193,1
0.042553,0.421749,0.503366,0.529825,1
0.06383,0.369235,0.476437,0.523684,1
0.085106,0.315382,0.429311,0.550877,1
0.106383,0.265397,0.383221,0.618421,1
0.12766,0.219429,0.341274,0.652193,0
0.148936,0.189527,0.320041,0.625439,0
0.170213,0.176882,0.298032,0.692982,0
0.191489,0.176733,0.288711,0.688596,0
0.212766,0.203808,0.293112,0.671053,0
0.234043,0.250669,0.325479,0.595175,1
0.255319,0.344094,0.407302,0.505263,1
0.276596,0.434097,0.483946,0.499123,1
0.297872,0.438411,0.515795,0.444298,0
0.319149,0.493752,0.578198,0.386404,1
0.340426,0.506397,0.596064,0.351754,1
0.361702,0.503273,0.589073,0.402632,1
0.382979,0.539869,0.5971,0.414912,1
0.404255,0.548795,0.580269,0.429386,1
0.425532,0.535704,0.581823,0.396053,1
0.446809,0.511901,0.57535,0.411842,1
0.468085,0.492711,0.57535,0.397368,1
0.489362,0.483338,0.577421,0.374561,1
0.510638,0.474859,0.56318,0.419737,1
0.531915,0.46742,0.561885,0.407018,1
0.553191,0.469503,0.594511,0.412719,1
0.574468,0.464148,0.595546,0.388158,1
0.595745,0.459387,0.590886,0.350877,1
0.617021,0.451503,0.58726,0.374561,1
0.638298,0.44332,0.57535,0.366667,1
0.659574,0.44942,0.569653,0.332018,1
0.680851,0.452395,0.583635,0.355702,1
0.702128,0.458643,0.605127,0.336842,1
0.723404,0.479024,0.619368,0.320175,1
0.744681,0.532877,0.636458,0.319737,1
0.765957,0.561291,0.652253,0.321053,1
0.787234,0.563672,0.654583,0.325877,1
0.808511,0.528414,0.611341,0.367544,1
0.829787,0.501041,0.583118,0.351754,1
0.851064,0.477685,0.551787,0.349123,0
0.87234,0.455668,0.515277,0.364035,0
0.893617,0.416245,0.48291,0.332895,0
0.914894,0.378756,0.406784,0.39386,0
0.93617,0.431717,0.353444,0.660965,0
0.957447,0.453883,0.333506,0.592105,0
0.978723,0.465933,0.452615,0.528947,0
1,0.467272,0.493786,0.540351,1
0,0.44942,0.462714,0.592982,1
0.021277,0.434841,0.42232,0.584649,1
0.042553,0.397352,0.471258,0.530263,1
0.06383,0.351235,0.445106,0.517982,1
0.085106,0.29753,0.401605,0.549123,0
0.106383,0.246504,0.360176,0.620175,0
0.12766,0.207676,0.31797,0.642105,0
0.148936,0.178072,0.284568,0.606579,0
0.170213,0.161559,0.262558,0.656579,0
0.191489,0.164088,0.252978,0.697807,0
0.212766,0.186403,0.267737,0.675,0
0.234043,0.235198,0.292595,0.647368,0
0.255319,0.330408,0.377784,0.482895,0
0.276596,0.423237,0.444329,0.514035,0
0.297872,0.429783,0.491714,0.424123,0
0.319149,0.491967,0.549197,0.365789,0
0.340426,0.487652,0.584412,0.323246,0
0.361702,0.498364,0.580269,0.356579,0
0.382979,0.544183,0.581564,0.396491,1
0.404255,0.562035,0.568876,0.408333,1
0.425532,0.556233,0.517866,0.517105,1
0.446809,0.545076,0.50725,0.492982,1
0.468085,0.533026,0.559296,0.465789,1
0.489362,0.525885,0.562144,0.561842,1
0.510638,0.513835,0.544795,0.560965,1
0.531915,0.507885,0.55101,0.563596,1
0.553191,0.501041,0.55101,0.485526,1
0.574468,0.495537,0.544019,0.495175,1
0.595745,0.486611,0.530036,0.486842,1
0.617021,0.47114,0.522786,0.411842,1
0.638298,0.470693,0.503625,0.453509,1
0.659574,0.488099,0.487053,0.436842,1
0.680851,0.497769,0.469446,0.415351,1
0.702128,0.505356,0.478509,0.433772,1
0.723404,0.511604,0.481098,0.393421,1
0.744681,0.555043,0.519938,0.277193,1
0.765957,0.56873,0.556447,0.250877,1
0.787234,0.548944,0.55826,0.244737,1
0.808511,0.516067,0.532367,0.230702,0
0.829787,0.484975,0.496893,0.216667,0
0.851064,0.46385,0.481875,0.212719,0
0.87234,0.439453,0.462196,0.211404,0
0.893617,0.403749,0.428534,0.255702,0
0.914894,0.372359,0.395132,0.263158,0
0.93617,0.424725,0.388659,0.410965,1
