@relation electricity-weka.filters.uns1ervised.attribute.Normalize-S1.0-T0.0-weka.filters.uns1ervised.attribute.ReplaceMissingValues-weka.filters.uns1ervised.attribute.Remove-R1-weka.filters.uns1ervised.attribute.Remove-R3-weka.filters.uns1ervised.attribute.Remove-R4
@attribute period numeric
@attribute nswdemand numeric
@attribute vicdemand numeric
@attribute transfer numeric
@attribute class {1,0}


@data
0.021277,0.415055,0.422915,0.414912,1
0.042553,0.385004,0.422915,0.414912,1
0.170213,0.13493,0.422915,0.414912,0
0.191489,0.140583,0.422915,0.414912,0
0.234043,0.212437,0.422915,0.414912,1
0.404255,0.546415,0.422915,0.414912,0
0.425532,0.53496,0.422915,0.414912,1
0.489362,0.513835,0.422915,0.414912,1
0.510638,0.505356,0.422915,0.414912,1
0.531915,0.497917,0.422915,0.414912,1
0.617021,0.47709,0.422915,0.414912,0
0.638298,0.466825,0.422915,0.414912,0
0.659574,0.478132,0.422915,0.414912,0
0.702128,0.503124,0.422915,0.414912,0
0.723404,0.55296,0.422915,0.414912,0
0.765957,0.587623,0.422915,0.414912,0
0.787234,0.546861,0.422915,0.414912,0
0.893617,0.368789,0.422915,0.414912,0
0.978723,0.445254,0.422915,0.414912,1
1,0.44094,0.422915,0.414912,1
0.042553,0.378905,0.422915,0.414912,1
0.085106,0.257959,0.422915,0.414912,0
0.106383,0.214073,0.422915,0.414912,0
0.170213,0.1385,0.422915,0.414912,0
0.212766,0.171675,0.422915,0.414912,0
0.234043,0.214519,0.422915,0.414912,1
0.255319,0.30244,0.422915,0.414912,1
0.340426,0.487504,0.422915,0.414912,0
0.361702,0.488991,0.422915,0.414912,0
0.382979,0.52886,0.422915,0.414912,0
0.404255,0.533323,0.422915,0.414912,0
0.468085,0.491818,0.422915,0.414912,0
0.531915,0.477388,0.422915,0.414912,0
0.659574,0.450759,0.422915,0.414912,0
0.680851,0.455965,0.422915,0.414912,0
0.765957,0.587028,0.422915,0.414912,0
0.787234,0.552812,0.422915,0.414912,0
0.808511,0.51086,0.422915,0.414912,0
0.893617,0.3856,0.422915,0.414912,0
1,0.449866,0.422915,0.414912,1
0,0.44823,0.422915,0.414912,1
0.042553,0.399286,0.422915,0.414912,1
0.06383,0.331449,0.422915,0.414912,0
0.085106,0.271794,0.422915,0.414912,0
0.106383,0.228206,0.422915,0.414912,0
0.191489,0.147724,0.422915,0.414912,1
0.234043,0.2169,0.422915,0.414912,1
0.297872,0.407766,0.422915,0.414912,1
0.340426,0.490777,0.422915,0.414912,0
0.382979,0.519786,0.422915,0.414912,1
0.404255,0.531836,0.422915,0.414912,1
0.446809,0.490925,0.422915,0.414912,1
0.489362,0.490479,0.422915,0.414912,1
0.659574,0.442428,0.422915,0.414912,1
0.787234,0.558018,0.422915,0.414912,0
0.829787,0.493454,0.422915,0.414912,0
0.914894,0.371169,0.422915,0.414912,1
0.957447,0.442577,0.422915,0.414912,1
0.978723,0.46385,0.422915,0.414912,1
1,0.462065,0.422915,0.414912,1
0.021277,0.434543,0.422915,0.414912,1
0.06383,0.327879,0.422915,0.414912,1
0.085106,0.273282,0.422915,0.414912,1
0.106383,0.232223,0.422915,0.414912,1
0.12766,0.187295,0.422915,0.414912,1
0.276596,0.401517,0.422915,0.414912,1
0.382979,0.542101,0.422915,0.414912,1
0.510638,0.485272,0.422915,0.414912,1
0.531915,0.482594,0.422915,0.414912,1
0.553191,0.473371,0.422915,0.414912,1
0.659574,0.438411,0.422915,0.414912,1
0.680851,0.441684,0.422915,0.414912,0
0.723404,0.499554,0.422915,0.414912,1
0.787234,0.505504,0.422915,0.414912,0
0.829787,0.429485,0.422915,0.414912,0
0.851064,0.399137,0.422915,0.414912,0
0.893617,0.352127,0.422915,0.414912,0
0.957447,0.408956,0.422915,0.414912,0
0.978723,0.43856,0.422915,0.414912,1
1,0.435436,0.422915,0.414912,1
0,0.436924,0.422915,0.414912,0
0.021277,0.407468,0.422915,0.414912,0
0.042553,0.368343,0.422915,0.414912,0
0.12766,0.152633,0.422915,0.414912,0
0.319149,0.286224,0.422915,0.414912,0
0.340426,0.344243,0.422915,0.414912,0
0.404255,0.428593,0.422915,0.414912,0
0.425532,0.416989,0.422915,0.414912,0
0.446809,0.403154,0.422915,0.414912,0
0.468085,0.382624,0.422915,0.414912,0
0.553191,0.325796,0.422915,0.414912,0
0.595745,0.296489,0.422915,0.414912,0
0.617021,0.287266,0.422915,0.414912,0
0.659574,0.287266,0.422915,0.414912,1
0.702128,0.318209,0.422915,0.414912,1
0.765957,0.458048,0.422915,0.414912,1
0.787234,0.428444,0.422915,0.414912,1
0.808511,0.385302,0.422915,0.414912,0
0.893617,0.282059,0.422915,0.414912,0
1,0.316572,0.422915,0.414912,0
0.085106,0.140732,0.422915,0.414912,0
0.12766,0.087176,0.422915,0.414912,1
0.148936,0.07349,0.422915,0.414912,1
0.170213,0.058167,0.422915,0.414912,1
0.234043,0.074383,0.422915,0.414912,1
0.319149,0.180452,0.422915,0.414912,0
0.340426,0.230884,0.422915,0.414912,0
0.361702,0.277298,0.422915,0.414912,0
0.382979,0.327581,0.422915,0.414912,0
0.446809,0.345582,0.422915,0.414912,0
0.553191,0.263612,0.422915,0.414912,0
0.617021,0.231479,0.422915,0.414912,0
0.638298,0.23252,0.422915,0.414912,0
0.702128,0.263761,0.422915,0.414912,0
0.765957,0.403898,0.422915,0.414912,1
0.829787,0.346772,0.422915,0.414912,0
0.851064,0.328771,0.422915,0.414912,0
0.87234,0.311068,0.422915,0.414912,0
0.978723,0.316424,0.422915,0.414912,0
1,0.293663,0.422915,0.414912,0
0.106383,0.127789,0.422915,0.414912,0
0.12766,0.112169,0.422915,0.414912,0
0.170213,0.10235,0.422915,0.414912,0
0.191489,0.110533,0.422915,0.414912,0
0.212766,0.143112,0.422915,0.414912,0
0.340426,0.465338,0.422915,0.414912,1
0.404255,0.529753,0.422915,0.414912,1
0.489362,0.492711,0.422915,0.414912,1
0.574468,0.478429,0.422915,0.414912,1
0.617021,0.467718,0.422915,0.414912,1
0.638298,0.457007,0.422915,0.414912,1
0.680851,0.489289,0.422915,0.414912,1
0.702128,0.53734,0.422915,0.414912,1
0.723404,0.591639,0.422915,0.414912,1
0.744681,0.651592,0.422915,0.414912,1
0.808511,0.558316,0.422915,0.414912,1
0.829787,0.526034,0.422915,0.414912,1
0.914894,0.3795,0.422915,0.414912,1
0.93617,0.425022,0.422915,0.414912,0
0.957447,0.448825,0.422915,0.414912,0
0,0.459685,0.422915,0.414912,0
0.06383,0.341416,0.422915,0.414912,0
0.106383,0.236686,0.422915,0.414912,0
0.12766,0.193692,0.422915,0.414912,0
0.191489,0.158137,0.422915,0.414912,0
0.212766,0.186105,0.422915,0.414912,0
0.234043,0.233115,0.422915,0.414912,0
0.276596,0.436626,0.422915,0.414912,1
0.297872,0.447188,0.422915,0.414912,1
0.340426,0.528265,0.422915,0.414912,1
0.382979,0.558762,0.422915,0.414912,1
0.531915,0.499851,0.422915,0.414912,1
0.553191,0.502083,0.422915,0.414912,1
0.638298,0.468015,0.422915,0.414912,1
0.659574,0.484826,0.422915,0.414912,1
0.680851,0.498959,0.422915,0.414912,1
0.744681,0.678667,0.422915,0.414912,1
0.765957,0.665873,0.422915,0.414912,1
0.787234,0.635228,0.422915,0.414912,1
0.87234,0.508033,0.422915,0.414912,0
0,0.486314,0.422915,0.414912,0
0.042553,0.431419,0.422915,0.414912,0
0.212766,0.202321,0.422915,0.414912,0
0.255319,0.345284,0.422915,0.414912,0
0.297872,0.461321,0.422915,0.414912,1
0.319149,0.525588,0.422915,0.414912,1
0.382979,0.563672,0.422915,0.414912,1
0.425532,0.551175,0.422915,0.414912,0
0.446809,0.529902,0.422915,0.414912,0
0.489362,0.503422,0.422915,0.414912,0
0.510638,0.492264,0.422915,0.414912,0
0.553191,0.472925,0.422915,0.414912,0
0.574468,0.468908,0.422915,0.414912,0
0.680851,0.463106,0.422915,0.414912,0
0.744681,0.645492,0.422915,0.414912,1
0.765957,0.632699,0.422915,0.414912,1
0.914894,0.399732,0.422915,0.414912,1
0.93617,0.448825,0.422915,0.414912,1
0.957447,0.464296,0.422915,0.414912,1
0.978723,0.487652,0.422915,0.414912,1
0,0.49033,0.422915,0.414912,1
0.042553,0.428741,0.422915,0.414912,0
0.06383,0.366855,0.422915,0.414912,0
0.106383,0.261232,0.422915,0.414912,0
0.12766,0.215115,0.422915,0.414912,0
0.191489,0.171526,0.422915,0.414912,0
0.255319,0.338143,0.422915,0.414912,0
0.276596,0.44332,0.422915,0.414912,1
0.319149,0.524695,0.422915,0.414912,1
0.340426,0.543737,0.422915,0.414912,1
0.425532,0.571407,0.422915,0.414912,0
0.468085,0.537043,0.422915,0.414912,0
