@relation electricity-weka.filters.uns1ervised.attribute.Normalize-S1.0-T0.0-weka.filters.uns1ervised.attribute.ReplaceMissingValues-weka.filters.uns1ervised.attribute.Remove-R1-weka.filters.uns1ervised.attribute.Remove-R3-weka.filters.uns1ervised.attribute.Remove-R4
@attribute period numeric
@attribute nswdemand numeric
@attribute vicdemand numeric
@attribute transfer numeric
@attribute class {1,0}

@data
0,0.439155,0.422915,0.414912,1
0.06383,0.314639,0.422915,0.414912,1
0.106383,0.207528,0.422915,0.414912,0
0.234043,0.212437,0.422915,0.414912,1
0.382979,0.53258,0.422915,0.414912,0
0.87234,0.412229,0.422915,0.414912,0
0.425532,0.519935,0.422915,0.414912,0
0.489362,0.486909,0.422915,0.414912,0
0.829787,0.480065,0.422915,0.414912,0
0.851064,0.452246,0.422915,0.414912,0
1,0.449866,0.422915,0.414912,1
0.106383,0.228206,0.422915,0.414912,0
0.191489,0.147724,0.422915,0.414912,1
0.489362,0.490479,0.422915,0.414912,1
0.574468,0.466825,0.422915,0.414912,1
0.87234,0.453585,0.422915,0.414912,0
0.978723,0.46385,0.422915,0.414912,1
0.06383,0.327879,0.422915,0.414912,1
0.297872,0.405832,0.422915,0.414912,1
0.489362,0.495537,0.422915,0.414912,1
0.595745,0.461619,0.422915,0.414912,1
0.893617,0.352127,0.422915,0.414912,0
0.957447,0.408956,0.422915,0.414912,0
0.106383,0.196816,0.422915,0.414912,0
0.319149,0.286224,0.422915,0.414912,0
0.404255,0.428593,0.422915,0.414912,0
0.574468,0.313746,0.422915,0.414912,0
0.702128,0.318209,0.422915,0.414912,1
0,0.30244,0.422915,0.414912,0
0.319149,0.180452,0.422915,0.414912,0
0.468085,0.337251,0.422915,0.414912,1
0.489362,0.323416,0.422915,0.414912,0
0.531915,0.281018,0.422915,0.414912,1
0.659574,0.240405,0.422915,0.414912,0
0,0.282654,0.422915,0.414912,0
0.042553,0.233859,0.422915,0.414912,0
0.319149,0.435882,0.422915,0.414912,1
0.489362,0.492711,0.422915,0.414912,1
0.702128,0.53734,0.422915,0.414912,1
0.723404,0.591639,0.422915,0.414912,1
0.042553,0.409551,0.422915,0.414912,0
0.553191,0.502083,0.422915,0.414912,1
0.723404,0.612169,0.422915,0.414912,1
0.744681,0.678667,0.422915,0.414912,1
1,0.480661,0.422915,0.414912,0
0.042553,0.431419,0.422915,0.414912,0
0.148936,0.186998,0.422915,0.414912,0
0.468085,0.518298,0.422915,0.414912,0
0.702128,0.500149,0.422915,0.414912,1
0.787234,0.604582,0.422915,0.414912,1
0.914894,0.399732,0.422915,0.414912,1
0.212766,0.199494,0.422915,0.414912,0
0.234043,0.241595,0.422915,0.414912,0
0.276596,0.44332,0.422915,0.414912,1
0.319149,0.524695,0.422915,0.414912,1
0.489362,0.530646,0.422915,0.414912,0
0.106383,0.262571,0.422915,0.414912,0
0.212766,0.203511,0.422915,0.414912,0
0.276596,0.444511,0.422915,0.414912,1
0.510638,0.519786,0.422915,0.414912,1
0.617021,0.457751,0.422915,0.414912,1
